Invoice_id,Cust_id,Year,Product,Product,Sales
1,165,2019,2,digital,522
2,129,2019,2,digital,201
3,141,2018,3,sports items,561
4,203,2014,4,home appliances,335
5,72,2014,3,sports items,225
6,92,2015,1,electronics,151
7,56,2018,4,home appliances,925
8,116,2017,3,sports items,808
9,15,2018,4,home appliances,791
10,249,2017,2,digital,808
11,168,2017,3,sports items,848
12,178,2015,2,digital,405
13,101,2016,4,home appliances,438
14,5,2015,4,home appliances,386
15,42,2014,3,sports items,185
16,166,2015,1,electronics,751
17,250,2018,1,electronics,618
18,239,2018,3,sports items,200
19,61,2019,3,sports items,547
20,138,2014,2,digital,287
21,223,2016,2,digital,755
22,81,2018,2,digital,179
23,16,2014,1,electronics,103
24,119,2015,3,sports items,721
25,87,2015,1,electronics,883
26,109,2016,4,home appliances,580
27,107,2018,1,electronics,122
28,180,2017,2,digital,184
29,235,2016,4,home appliances,247
30,230,2015,4,home appliances,368
31,212,2016,1,electronics,552
32,221,2015,2,digital,245
33,29,2016,2,digital,185
34,159,2015,4,home appliances,646
35,101,2015,3,sports items,486
36,232,2018,1,electronics,603
37,126,2015,4,home appliances,115
38,149,2019,2,digital,215
39,68,2018,3,sports items,573
40,173,2018,3,sports items,324
41,75,2014,1,electronics,463
42,53,2016,4,home appliances,416
43,141,2017,3,sports items,411
44,228,2015,4,home appliances,430
45,87,2019,1,electronics,129
46,129,2017,4,home appliances,335
47,105,2019,1,electronics,129
48,197,2019,4,home appliances,700
49,34,2015,2,digital,315
50,6,2014,2,digital,566
51,244,2015,1,electronics,908
52,109,2016,3,sports items,314
53,190,2018,4,home appliances,844
54,77,2017,4,home appliances,726
55,211,2017,1,electronics,448
56,48,2017,3,sports items,744
57,68,2017,4,home appliances,309
58,215,2015,2,digital,166
59,161,2019,1,electronics,177
60,36,2015,2,digital,843
61,172,2018,2,digital,741
62,116,2016,3,sports items,82
63,66,2017,4,home appliances,656
64,193,2018,4,home appliances,447
65,167,2018,3,sports items,150
66,135,2018,1,electronics,589
67,216,2016,4,home appliances,598
68,83,2014,4,home appliances,895
69,174,2017,3,sports items,212
70,115,2019,4,home appliances,58
71,49,2014,1,electronics,761
72,119,2019,2,digital,651
73,232,2018,3,sports items,150
74,25,2014,3,sports items,560
75,45,2016,2,digital,808
76,152,2015,2,digital,780
77,97,2014,3,sports items,463
78,57,2014,3,sports items,179
79,207,2016,2,digital,156
80,40,2018,4,home appliances,371
81,70,2015,4,home appliances,661
82,111,2018,3,sports items,461
83,182,2015,1,electronics,797
84,61,2018,2,digital,708
85,22,2018,2,digital,792
86,217,2018,3,sports items,687
87,86,2019,1,electronics,180
88,218,2019,2,digital,833
89,14,2019,3,sports items,215
90,80,2019,4,home appliances,499
91,47,2018,2,digital,85
92,88,2017,3,sports items,453
93,172,2017,2,digital,212
94,107,2019,1,electronics,362
95,88,2019,1,electronics,873
96,179,2015,2,digital,87
97,84,2016,2,digital,831
98,188,2015,4,home appliances,634
